2023-07-05 17:43:40 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 6.2.4.Final 
2023-07-05 17:43:40 [restartedMain] INFO  c.v.WebsaleApplication                             - Starting WebsaleApplication using Java 11.0.16 on LAPTOP-8DG1170H with PID 10888 (D:\Mock project\SmallHome\smallhome-server\target\classes started by LENOVO in D:\Mock project\SmallHome\smallhome-server) 
2023-07-05 17:43:40 [restartedMain] INFO  c.v.WebsaleApplication                             - No active profile set, falling back to 1 default profile: "default" 
2023-07-05 17:43:40 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2023-07-05 17:43:40 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2023-07-05 17:43:41 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2023-07-05 17:43:41 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 67 ms. Found 4 JPA repository interfaces. 
2023-07-05 17:43:42 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8080 (http) 
2023-07-05 17:43:42 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["http-nio-8080"] 
2023-07-05 17:43:42 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat] 
2023-07-05 17:43:42 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.65] 
2023-07-05 17:43:42 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext 
2023-07-05 17:43:42 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 2271 ms 
2023-07-05 17:43:42 [restartedMain] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default] 
2023-07-05 17:43:42 [restartedMain] INFO  o.h.Version                                        - HHH000412: Hibernate ORM core version 5.6.10.Final 
2023-07-05 17:43:43 [restartedMain] INFO  o.h.a.c.Version                                    - HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
2023-07-05 17:43:43 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting... 
2023-07-05 17:43:43 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Start completed. 
2023-07-05 17:43:43 [restartedMain] INFO  o.h.d.Dialect                                      - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect 
2023-07-05 17:43:44 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2023-07-05 17:43:44 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default' 
2023-07-05 17:43:45 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2023-07-05 17:43:45 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain                 - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6d8da413, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3f76f0b1, org.springframework.security.web.context.SecurityContextPersistenceFilter@391e1ef2, org.springframework.security.web.header.HeaderWriterFilter@26359424, org.springframework.web.filter.CorsFilter@98801f3, org.springframework.security.web.authentication.logout.LogoutFilter@28934827, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@216e78f3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@69ddda0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@152d917b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@dfa25e6, org.springframework.security.web.session.SessionManagementFilter@2357fca4, org.springframework.security.web.access.ExceptionTranslationFilter@4d221085, org.springframework.security.web.access.intercept.AuthorizationFilter@4f39e6b5] 
2023-07-05 17:43:45 [restartedMain] WARN  o.s.s.c.a.w.b.WebSecurity                          - You are asking Spring Security to ignore Ant [pattern='/swagger*/**', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
2023-07-05 17:43:45 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain                 - Will not secure Ant [pattern='/swagger*/**', GET] 
2023-07-05 17:43:45 [restartedMain] WARN  o.s.s.c.a.w.b.WebSecurity                          - You are asking Spring Security to ignore Ant [pattern='/webjars/**', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
2023-07-05 17:43:45 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain                 - Will not secure Ant [pattern='/webjars/**', GET] 
2023-07-05 17:43:45 [restartedMain] WARN  o.s.s.c.a.w.b.WebSecurity                          - You are asking Spring Security to ignore Ant [pattern='/v2/api-docs', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
2023-07-05 17:43:45 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain                 - Will not secure Ant [pattern='/v2/api-docs', GET] 
2023-07-05 17:43:46 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer                 - LiveReload server is running on port 35729 
2023-07-05 17:43:46 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["http-nio-8080"] 
2023-07-05 17:43:46 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 8080 (http) with context path '' 
2023-07-05 17:43:46 [restartedMain] INFO  c.v.WebsaleApplication                             - Started WebsaleApplication in 7.084 seconds (JVM running for 8.382) 
2023-07-05 17:43:59 [http-nio-8080-exec-3] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring DispatcherServlet 'dispatcherServlet' 
2023-07-05 17:43:59 [http-nio-8080-exec-3] INFO  o.s.w.s.DispatcherServlet                          - Initializing Servlet 'dispatcherServlet' 
2023-07-05 17:43:59 [http-nio-8080-exec-3] INFO  o.s.w.s.DispatcherServlet                          - Completed initialization in 3 ms 
2023-07-05 18:22:36 [HikariPool-1 housekeeper] WARN  c.z.h.p.HikariPool                                 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=37m22s882ms140µs800ns). 
2023-07-05 19:02:05 [http-nio-8080-exec-10] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver    - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public void com.vti.controller.CategoryController.create(com.vti.form.CategoryCreateForm): [Field error in object 'categoryCreateForm' on field 'name': rejected value []; codes [NotBlank.categoryCreateForm.name,NotBlank.name,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [categoryCreateForm.name,name]; arguments []; default message [name]]; default message [{CategoryForm.name.NotBlank}]] ] 
2023-07-05 19:02:10 [http-nio-8080-exec-3] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver    - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public void com.vti.controller.CategoryController.create(com.vti.form.CategoryCreateForm): [Field error in object 'categoryCreateForm' on field 'name': rejected value []; codes [NotBlank.categoryCreateForm.name,NotBlank.name,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [categoryCreateForm.name,name]; arguments []; default message [name]]; default message [{CategoryForm.name.NotBlank}]] ] 
2023-07-05 20:38:41 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default' 
2023-07-05 20:38:41 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown initiated... 
2023-07-05 20:38:41 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown completed. 
